"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"217","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,4,"Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie",6,"IN","Ruby"
"218","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,5,"Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece",5,"IN","Beca"
"219","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,5,"Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower",1,"STAR BAKER","Christine"
"220","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,5,"Millionaire Banoffee Bonus","Biscuit Buttons and Beads",3,"IN","Frances"
"221","Glenn Cosby",37,"English Teacher","Teignmouth, Devon",4,5,"Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter",2,"IN","Glenn"
"222","Howard Middleton",51,"Council Worker","Sheffield",4,5,"Breakfast Traybake","Japanese Pagoda Tea Tower",8,"IN","Howard"
"223","Kimberley Wilson",30,"Psychologist","London",4,5,"Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack",7,"IN","Kimberley"
"224","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,5,"Blueberry & Orange Traybake","Dalek",4,"OUT","Robert"
"225","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,5,"Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece",6,"IN","Ruby"
"226","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,6,"Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns",6,"IN","Beca"
"227","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,6,"Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød",4,"IN","Christine"
"228","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,6,"Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches",2,"IN","Frances"
